held_out_trial,cutpoint,item,coef
AD-1061,P(Y>=2),ADL0116B,-0.2504365202837918
AD-1061,P(Y>=2),ADL0117A,-0.6466065553163747
AD-1061,P(Y>=2),Q18,0.0
AD-1061,P(Y>=2),ADL0121A,0.0
AD-1061,P(Y>=2),ADL0122Q,0.0
AD-1061,P(Y>=2),ADL0123L,0.0
AD-1061,P(Y>=3),ADL0101,-0.13189506633063133
AD-1061,P(Y>=3),ADL0102,-0.11901520954674051
AD-1061,P(Y>=3),ADL0103,-0.3036720481674127
AD-1061,P(Y>=3),ADL0104,-0.45183916039944194
AD-1061,P(Y>=3),ADL0105,-0.33763626464915775
AD-1061,P(Y>=3),ADL0106B,0.0
AD-1061,P(Y>=3),ADL0106A,-0.09861865572224744
AD-1061,P(Y>=3),ADL0107A,-0.17267088539968767
AD-1061,P(Y>=3),ADL0110A,0.045237889721015175
AD-1061,P(Y>=3),ADL0111A,-0.1564653668049366
AD-1061,P(Y>=3),ADL0112A,0.02505158326410057
AD-1061,P(Y>=3),ADL0113A,-0.008854968528456107
AD-1061,P(Y>=3),ADL0114A,-0.0883347386694033
AD-1061,P(Y>=3),ADL0115A,-0.9289900385682951
AD-1061,P(Y>=3),ADL0116A,-0.1808890920937902
AD-1061,P(Y>=3),ADL0116B,-0.20777564209111
AD-1061,P(Y>=3),ADL0117A,-0.19943960024744253
AD-1061,P(Y>=3),Q18,-0.5576411880860076
AD-1061,P(Y>=3),ADL0121A,0.0
AD-1061,P(Y>=3),ADL0122Q,0.03547914095509199
AD-1061,P(Y>=3),ADL0123L,-0.07005841203158049
AD-1061,P(Y>=4),ADL0101,0.07338939588607656
AD-1061,P(Y>=4),ADL0102,-0.087766705610979
AD-1061,P(Y>=4),ADL0103,-0.3839981798665102
AD-1061,P(Y>=4),ADL0104,-0.5427781574095346
AD-1061,P(Y>=4),ADL0105,-0.3827344212909313
AD-1061,P(Y>=4),ADL0106B,-0.37292488869140217
AD-1061,P(Y>=4),ADL0106A,0.0
AD-1061,P(Y>=4),ADL0107A,0.0
AD-1061,P(Y>=4),ADL0110A,0.0
AD-1061,P(Y>=4),ADL0111A,-0.062039740559001105
AD-1061,P(Y>=4),ADL0112A,0.0
AD-1061,P(Y>=4),ADL0113A,-0.10796665713516806
AD-1061,P(Y>=4),ADL0114A,-0.09739024885726998
AD-1061,P(Y>=4),ADL0115A,-0.13533790668715165
AD-1061,P(Y>=4),ADL0116A,0.0
AD-1061,P(Y>=4),ADL0116B,-0.1928048286813121
AD-1061,P(Y>=4),ADL0117A,0.0
AD-1061,P(Y>=4),Q18,-0.06876217781291522
AD-1061,P(Y>=4),ADL0121A,-1.6904636924205027e-05
AD-1061,P(Y>=4),ADL0122Q,-0.05299949092845116
AD-1061,P(Y>=4),ADL0123L,-0.055060023269707416
AD-1061,P(Y>=5),ADL0101,0.02277087655722856
AD-1061,P(Y>=5),ADL0102,-0.22571098541321047
AD-1061,P(Y>=5),ADL0103,-0.48763053137128276
AD-1061,P(Y>=5),ADL0104,-0.23910278259333512
AD-1061,P(Y>=5),ADL0105,-0.12830366103843976
AD-1061,P(Y>=5),ADL0106B,0.0
AD-1061,P(Y>=5),ADL0106A,0.0
AD-1061,P(Y>=5),ADL0107A,-0.012796403161715151
AD-1061,P(Y>=5),ADL0110A,0.21446454577159518
AD-1061,P(Y>=5),ADL0111A,0.0
AD-1061,P(Y>=5),ADL0112A,0.0
AD-1061,P(Y>=5),ADL0113A,0.0
AD-1061,P(Y>=5),ADL0114A,0.0
AD-1061,P(Y>=5),ADL0115A,-0.19198717288943792
AD-1061,P(Y>=5),ADL0116A,0.0
AD-1061,P(Y>=5),ADL0116B,0.0
AD-1061,P(Y>=5),ADL0117A,0.0
AD-1061,P(Y>=5),Q18,-0.08717437426464104
AD-1061,P(Y>=5),ADL0121A,0.0
AD-1061,P(Y>=5),ADL0122Q,0.0
AD-1061,P(Y>=5),ADL0123L,-0.08040817980259225
AD-1063,P(Y>=1),ADL0101,0.0
AD-1063,P(Y>=1),ADL0102,0.0
AD-1063,P(Y>=1),ADL0103,0.0
AD-1063,P(Y>=1),ADL0104,0.0
AD-1063,P(Y>=1),ADL0105,0.0
AD-1063,P(Y>=1),ADL0106B,0.0
AD-1063,P(Y>=1),ADL0106A,0.0
AD-1063,P(Y>=1),ADL0107A,-0.11350110364785755
AD-1063,P(Y>=1),ADL0110A,0.0
AD-1063,P(Y>=1),ADL0111A,-0.13518074050372741
AD-1063,P(Y>=1),ADL0112A,0.0
AD-1063,P(Y>=1),ADL0113A,0.0
AD-1063,P(Y>=1),ADL0114A,0.0
AD-1063,P(Y>=1),ADL0115A,-0.2508768048188854
AD-1063,P(Y>=1),ADL0116A,-0.22314759499978198
AD-1063,P(Y>=1),ADL0116B,-0.21729317730282527
AD-1063,P(Y>=1),ADL0117A,-0.4396573236927284
AD-1063,P(Y>=1),Q18,0.0
AD-1063,P(Y>=1),ADL0121A,0.0
AD-1063,P(Y>=1),ADL0122Q,0.0
AD-1063,P(Y>=1),ADL0123L,0.0
AD-1063,P(Y>=2),ADL0101,0.0
AD-1063,P(Y>=2),ADL0102,0.0
AD-1063,P(Y>=2),ADL0103,0.0
AD-1063,P(Y>=2),ADL0104,-0.2668622269355836
AD-1063,P(Y>=2),ADL0105,-0.17633494822970167
AD-1063,P(Y>=2),ADL0106B,0.0
AD-1063,P(Y>=2),ADL0106A,-0.039181946457217655
AD-1063,P(Y>=2),ADL0107A,-0.27045803510016614
AD-1063,P(Y>=2),ADL0110A,-0.0340609885437451
AD-1063,P(Y>=2),ADL0111A,-0.22006543075821106
AD-1063,P(Y>=2),ADL0112A,0.0
AD-1063,P(Y>=2),ADL0113A,-0.11954492895673782
AD-1063,P(Y>=2),ADL0114A,0.0
AD-1063,P(Y>=2),ADL0115A,-0.6089477568863013
AD-1063,P(Y>=2),ADL0116A,-0.15011747442778642
AD-1063,P(Y>=2),ADL0116B,-0.2506536345380915
AD-1063,P(Y>=2),ADL0117A,-0.23107054047373715
AD-1063,P(Y>=2),Q18,0.0
AD-1063,P(Y>=2),ADL0121A,0.0
AD-1063,P(Y>=2),ADL0122Q,0.0
AD-1063,P(Y>=2),ADL0123L,0.0
AD-1063,P(Y>=3),ADL0101,-0.09266608101567823
AD-1063,P(Y>=3),ADL0102,-0.3081891104157168
AD-1063,P(Y>=3),ADL0103,-0.20016916067296095
AD-1063,P(Y>=3),ADL0104,-0.3478309729180002
AD-1063,P(Y>=3),ADL0105,-0.2614250644907
AD-1063,P(Y>=3),ADL0106B,-0.08224617995417562
AD-1063,P(Y>=3),ADL0106A,-0.04507522999615298
AD-1063,P(Y>=3),ADL0107A,-0.20762012332838106
AD-1063,P(Y>=3),ADL0110A,0.06174827415188829
AD-1063,P(Y>=3),ADL0111A,-0.15904562301846592
AD-1063,P(Y>=3),ADL0112A,0.07264393631920758
AD-1063,P(Y>=3),ADL0113A,0.0
AD-1063,P(Y>=3),ADL0114A,0.0
AD-1063,P(Y>=3),ADL0115A,-0.8216432368149922
AD-1063,P(Y>=3),ADL0116A,-0.07000624787079333
AD-1063,P(Y>=3),ADL0116B,-0.2040746334303536
AD-1063,P(Y>=3),ADL0117A,-0.10854114604291007
AD-1063,P(Y>=3),Q18,-0.5265216634091722
AD-1063,P(Y>=3),ADL0121A,0.0
AD-1063,P(Y>=3),ADL0122Q,-0.0288759005622024
AD-1063,P(Y>=3),ADL0123L,-0.15899755615893868
AD-1063,P(Y>=4),ADL0101,0.0
AD-1063,P(Y>=4),ADL0102,-0.12236041538525749
AD-1063,P(Y>=4),ADL0103,-0.2277575740540811
AD-1063,P(Y>=4),ADL0104,-0.5895464197941823
AD-1063,P(Y>=4),ADL0105,-0.45248921244816226
AD-1063,P(Y>=4),ADL0106B,-0.07359965894655067
AD-1063,P(Y>=4),ADL0106A,-0.09249326040369385
AD-1063,P(Y>=4),ADL0107A,-0.05681755754281153
AD-1063,P(Y>=4),ADL0110A,0.02164992563193831
AD-1063,P(Y>=4),ADL0111A,-0.05881785960796878
AD-1063,P(Y>=4),ADL0112A,-0.01963342588437746
AD-1063,P(Y>=4),ADL0113A,0.0
AD-1063,P(Y>=4),ADL0114A,-0.07984615829378322
AD-1063,P(Y>=4),ADL0115A,0.0
AD-1063,P(Y>=4),ADL0116A,-0.08828626796932662
AD-1063,P(Y>=4),ADL0116B,-0.022158068304040334
AD-1063,P(Y>=4),ADL0117A,0.0
AD-1063,P(Y>=4),Q18,-0.1943293263309141
AD-1063,P(Y>=4),ADL0121A,0.0
AD-1063,P(Y>=4),ADL0122Q,-0.07616943289366221
AD-1063,P(Y>=4),ADL0123L,-0.09223084193574399
AD-1063,P(Y>=5),ADL0101,0.10878850695780526
AD-1063,P(Y>=5),ADL0102,-0.18619700516431403
AD-1063,P(Y>=5),ADL0103,-0.47552439776370936
AD-1063,P(Y>=5),ADL0104,-0.22374766444097988
AD-1063,P(Y>=5),ADL0105,-0.18760346907158346
AD-1063,P(Y>=5),ADL0106B,0.0554575382529263
AD-1063,P(Y>=5),ADL0106A,0.0
AD-1063,P(Y>=5),ADL0107A,0.0
AD-1063,P(Y>=5),ADL0110A,0.09181321066248727
AD-1063,P(Y>=5),ADL0111A,0.0
AD-1063,P(Y>=5),ADL0112A,0.0
AD-1063,P(Y>=5),ADL0113A,-0.04192965892473912
AD-1063,P(Y>=5),ADL0114A,0.06357307427425135
AD-1063,P(Y>=5),ADL0115A,-0.15140173481109698
AD-1063,P(Y>=5),ADL0116A,-0.01430885312318285
AD-1063,P(Y>=5),ADL0116B,-0.008772478126050413
AD-1063,P(Y>=5),ADL0117A,0.0
AD-1063,P(Y>=5),Q18,-0.08096345795963338
AD-1063,P(Y>=5),ADL0121A,0.0
AD-1063,P(Y>=5),ADL0122Q,0.01877593299293653
AD-1063,P(Y>=5),ADL0123L,0.0
AD-1064,P(Y>=1),ADL0101,0.0
AD-1064,P(Y>=1),ADL0102,0.0
AD-1064,P(Y>=1),ADL0103,0.0
AD-1064,P(Y>=1),ADL0104,-0.04224103176951474
AD-1064,P(Y>=1),ADL0105,0.0
AD-1064,P(Y>=1),ADL0106B,0.0
AD-1064,P(Y>=1),ADL0106A,-0.012696361387649626
AD-1064,P(Y>=1),ADL0107A,-0.20799593688604087
AD-1064,P(Y>=1),ADL0110A,0.0
AD-1064,P(Y>=1),ADL0111A,-0.13587032228625376
AD-1064,P(Y>=1),ADL0112A,0.0
AD-1064,P(Y>=1),ADL0113A,0.0
AD-1064,P(Y>=1),ADL0114A,0.0
AD-1064,P(Y>=1),ADL0115A,0.0
AD-1064,P(Y>=1),ADL0116A,-0.13278194823263428
AD-1064,P(Y>=1),ADL0116B,-0.21341910917674708
AD-1064,P(Y>=1),ADL0117A,-0.5472665203079832
AD-1064,P(Y>=1),Q18,0.0
AD-1064,P(Y>=1),ADL0121A,-0.17207297201620103
AD-1064,P(Y>=1),ADL0122Q,0.0
AD-1064,P(Y>=1),ADL0123L,0.0
AD-1064,P(Y>=2),ADL0101,0.0
AD-1064,P(Y>=2),ADL0102,0.0
AD-1064,P(Y>=2),ADL0103,0.0
AD-1064,P(Y>=2),ADL0104,-0.25234138317440497
AD-1064,P(Y>=2),ADL0105,-0.19170182302313096
AD-1064,P(Y>=2),ADL0106B,0.0
AD-1064,P(Y>=2),ADL0106A,-0.04571653343237527
AD-1064,P(Y>=2),ADL0107A,-0.46483062274220754
AD-1064,P(Y>=2),ADL0110A,0.0
AD-1064,P(Y>=2),ADL0111A,-0.3298938412533115
AD-1064,P(Y>=2),ADL0112A,0.0
AD-1064,P(Y>=2),ADL0113A,-0.18496488537476158
AD-1064,P(Y>=2),ADL0114A,0.0
AD-1064,P(Y>=2),ADL0115A,0.0
AD-1064,P(Y>=2),ADL0116A,-0.4095135846312297
AD-1064,P(Y>=2),ADL0116B,-0.2236840869200689
AD-1064,P(Y>=2),ADL0117A,-0.5113038352463606
AD-1064,P(Y>=2),Q18,-0.03218785564471875
AD-1064,P(Y>=2),ADL0121A,0.0
AD-1064,P(Y>=2),ADL0122Q,-0.0021421789177864243
AD-1064,P(Y>=2),ADL0123L,0.0
AD-1064,P(Y>=3),ADL0101,-0.030768978438761155
AD-1064,P(Y>=3),ADL0102,-0.07340991575177674
AD-1064,P(Y>=3),ADL0103,-0.22407954146018158
AD-1064,P(Y>=3),ADL0104,-0.3313147371870961
AD-1064,P(Y>=3),ADL0105,-0.279306527401805
AD-1064,P(Y>=3),ADL0106B,0.009996425392399281
AD-1064,P(Y>=3),ADL0106A,-0.16365226721146947
AD-1064,P(Y>=3),ADL0107A,-0.17800213539661872
AD-1064,P(Y>=3),ADL0110A,0.08282704852906281
AD-1064,P(Y>=3),ADL0111A,-0.2431962058323884
AD-1064,P(Y>=3),ADL0112A,0.026005788838565223
AD-1064,P(Y>=3),ADL0113A,-0.06706533445296853
AD-1064,P(Y>=3),ADL0114A,-0.01727428174366867
AD-1064,P(Y>=3),ADL0115A,-0.9330540844008347
AD-1064,P(Y>=3),ADL0116A,-0.15806094169567775
AD-1064,P(Y>=3),ADL0116B,-0.08695915626117406
AD-1064,P(Y>=3),ADL0117A,-0.13980373563881643
AD-1064,P(Y>=3),Q18,-0.5223274137923767
AD-1064,P(Y>=3),ADL0121A,-0.08016342811903392
AD-1064,P(Y>=3),ADL0122Q,-0.0647508504391216
AD-1064,P(Y>=3),ADL0123L,-0.009366547684301018
AD-1064,P(Y>=4),ADL0101,0.025607308766875725
AD-1064,P(Y>=4),ADL0102,-0.020471489474256102
AD-1064,P(Y>=4),ADL0103,-0.34001022340985154
AD-1064,P(Y>=4),ADL0104,-0.5488176697527805
AD-1064,P(Y>=4),ADL0105,-0.3966993641227394
AD-1064,P(Y>=4),ADL0106B,-0.28032719413712454
AD-1064,P(Y>=4),ADL0106A,0.0
AD-1064,P(Y>=4),ADL0107A,0.030751503291598238
AD-1064,P(Y>=4),ADL0110A,0.1044882440804387
AD-1064,P(Y>=4),ADL0111A,-0.17680634971013556
AD-1064,P(Y>=4),ADL0112A,-0.047995080668062184
AD-1064,P(Y>=4),ADL0113A,0.0
AD-1064,P(Y>=4),ADL0114A,0.0
AD-1064,P(Y>=4),ADL0115A,-0.06401230836305975
AD-1064,P(Y>=4),ADL0116A,0.0
AD-1064,P(Y>=4),ADL0116B,-0.21944949819210557
AD-1064,P(Y>=4),ADL0117A,0.0
AD-1064,P(Y>=4),Q18,-0.11598699209303324
AD-1064,P(Y>=4),ADL0121A,-0.08362773803002771
AD-1064,P(Y>=4),ADL0122Q,-0.04900478822826394
AD-1064,P(Y>=4),ADL0123L,-0.02080172283612772
AD-1064,P(Y>=5),ADL0101,0.11507991486467715
AD-1064,P(Y>=5),ADL0102,-0.16987939300310434
AD-1064,P(Y>=5),ADL0103,-0.3744701411145084
AD-1064,P(Y>=5),ADL0104,-0.3829126379231877
AD-1064,P(Y>=5),ADL0105,-0.19045591844126206
AD-1064,P(Y>=5),ADL0106B,0.1296287622865063
AD-1064,P(Y>=5),ADL0106A,0.0
AD-1064,P(Y>=5),ADL0107A,0.0
AD-1064,P(Y>=5),ADL0110A,0.08705477934314748
AD-1064,P(Y>=5),ADL0111A,0.0
AD-1064,P(Y>=5),ADL0112A,0.0
AD-1064,P(Y>=5),ADL0113A,0.0
AD-1064,P(Y>=5),ADL0114A,0.1613406222258657
AD-1064,P(Y>=5),ADL0115A,-0.22409969674045244
AD-1064,P(Y>=5),ADL0116A,0.0
AD-1064,P(Y>=5),ADL0116B,0.0
AD-1064,P(Y>=5),ADL0117A,0.0
AD-1064,P(Y>=5),Q18,-0.145698085876785
AD-1064,P(Y>=5),ADL0121A,0.0
AD-1064,P(Y>=5),ADL0122Q,0.0
AD-1064,P(Y>=5),ADL0123L,0.0
